Tokenizer,lowercase,N-gram,Min_df,Max_df,Accuracy
Vectorizer.Count,False,1,7,510,0.908575112830432
Vectorizer.Count,False,1,7,610,0.9088330109606705
Vectorizer.Count,False,1,7,710,0.9093488072211476
Vectorizer.Count,False,1,7,810,0.9105093488072211
Vectorizer.Count,False,1,7,910,0.9130883301096067
Vectorizer.Count,False,1,7,1010,0.913217279174726
Vectorizer.Count,False,1,7,1110,0.9151515151515152
Vectorizer.Count,False,1,7,1210,0.9148936170212766
Vectorizer.Count,False,1,7,1310,0.9143778207607994
Vectorizer.Count,False,1,7,1410,0.9191489361702128
Vectorizer.Count,False,1,7,1510,0.9182462927143779
Vectorizer.Count,False,1,8,10,0.6033526756931012
Vectorizer.Count,False,1,8,110,0.8662798194713088
Vectorizer.Count,False,1,8,210,0.8884590586718246
Vectorizer.Count,False,1,8,310,0.9038039974210187
Vectorizer.Count,False,1,8,410,0.9059961315280464
Vectorizer.Count,False,1,8,510,0.9078014184397163
Vectorizer.Count,False,1,8,610,0.9067698259187621
Vectorizer.Count,False,1,8,710,0.9080593165699549
Vectorizer.Count,False,1,8,810,0.9084461637653127
Vectorizer.Count,False,1,8,910,0.9120567375886525
Vectorizer.Count,False,1,8,1010,0.9129593810444874
Vectorizer.Count,False,1,8,1110,0.9137330754352031
Vectorizer.Count,False,1,8,1210,0.9134751773049645
Vectorizer.Count,False,1,8,1310,0.9134751773049645
Vectorizer.Count,False,1,8,1410,0.9174725983236621
Vectorizer.Count,False,1,8,1510,0.9173436492585428
Vectorizer.Count,False,1,9,10,0.5749838813668601
Vectorizer.Count,False,1,9,110,0.8631850419084461
Vectorizer.Count,False,1,9,210,0.8869116698903933
Vectorizer.Count,False,1,9,310,0.9022566086395873
Vectorizer.Count,False,1,9,410,0.9041908446163766
Vectorizer.Count,False,1,9,510,0.90535138620245
Vectorizer.Count,False,1,9,610,0.9045776918117344
Vectorizer.Count,False,1,9,710,0.9065119277885235
Vectorizer.Count,False,1,9,810,0.9079303675048356
Vectorizer.Count,False,1,9,910,0.9110251450676983
Vectorizer.Count,False,1,9,1010,0.9106382978723404
Vectorizer.Count,False,1,9,1110,0.9114119922630561
Vectorizer.Count,False,1,9,1210,0.9117988394584139
Vectorizer.Count,False,1,9,1310,0.9125725338491296
Vectorizer.Count,False,1,9,1410,0.9151515151515152
Vectorizer.Count,False,1,9,1510,0.914635718891038
Vectorizer.Count,False,1,10,10,0.5432624113475177
Vectorizer.Count,False,1,10,110,0.8577691811734365
Vectorizer.Count,False,1,10,210,0.8834300451321728
Vectorizer.Count,False,1,10,310,0.8986460348162476
Vectorizer.Count,False,1,10,410,0.9029013539651838
Vectorizer.Count,False,1,10,510,0.9040618955512573
Vectorizer.Count,False,1,10,610,0.9034171502256608
Vectorizer.Count,False,1,10,710,0.9050934880722115
Vectorizer.Count,False,1,10,810,0.9075435203094777
Vectorizer.Count,False,1,10,910,0.9103803997421018
Vectorizer.Count,False,1,10,1010,0.9107672469374597
Vectorizer.Count,False,1,10,1110,0.912314635718891
Vectorizer.Count,False,1,10,1210,0.912314635718891
Vectorizer.Count,False,1,10,1310,0.9128304319793682
Vectorizer.Count,False,1,10,1410,0.9147646679561573
Vectorizer.Count,False,1,10,1510,0.9156673114119923
Vectorizer.Count,False,2,1,10,0.8938749194068343
Vectorizer.Count,False,2,1,110,0.9243068987749838
Vectorizer.Count,False,2,1,210,0.92856221792392
Vectorizer.Count,False,2,1,310,0.9310122501611864
Vectorizer.Count,False,2,1,410,0.9323017408123792
Vectorizer.Count,False,2,1,510,0.9325596389426176
Vectorizer.Count,False,2,1,610,0.9290780141843972
Vectorizer.Count,False,2,1,710,0.9302385557704707
Vectorizer.Count,False,2,1,810,0.9307543520309478
Vectorizer.Count,False,2,1,910,0.9323017408123792
Vectorizer.Count,False,2,1,1010,0.9328175370728562
Vectorizer.Count,False,2,1,1110,0.9329464861379755
Vectorizer.Count,False,2,1,1210,0.9320438426821406
Vectorizer.Count,False,2,1,1310,0.9313990973565441
Vectorizer.Count,False,2,1,1410,0.9310122501611864
Vectorizer.Count,False,2,1,1510,0.9313990973565441
Vectorizer.Count,False,2,2,10,0.8755641521598968
Vectorizer.Count,False,2,2,110,0.9228884590586718
Vectorizer.Count,False,2,2,210,0.926241134751773
Vectorizer.Count,False,2,2,310,0.9297227595099935
Vectorizer.Count,False,2,2,410,0.9311411992263056
Vectorizer.Count,False,2,2,510,0.9308833010960671
Vectorizer.Count,False,2,2,610,0.9319148936170213
Vectorizer.Count,False,2,2,710,0.9315280464216634
Vectorizer.Count,False,2,2,810,0.9308833010960671
Vectorizer.Count,False,2,2,910,0.9359123146357189
Vectorizer.Count,False,2,2,1010,0.935009671179884
Vectorizer.Count,False,2,2,1110,0.934107027724049
Vectorizer.Count,False,2,2,1210,0.9344938749194068
Vectorizer.Count,False,2,2,1310,0.9344938749194068
Vectorizer.Count,False,2,2,1410,0.9343649258542875
Vectorizer.Count,False,2,2,1510,0.9342359767891683
Vectorizer.Count,False,2,3,10,0.8599613152804643
Vectorizer.Count,False,2,3,110,0.9186331399097356
Vectorizer.Count,False,2,3,210,0.9235332043842682
Vectorizer.Count,False,2,3,310,0.9288201160541586
Vectorizer.Count,False,2,3,410,0.9310122501611864
Vectorizer.Count,False,2,3,510,0.9311411992263056
Vectorizer.Count,False,2,3,610,0.9297227595099935
Vectorizer.Count,False,2,3,710,0.9304964539007092
Vectorizer.Count,False,2,3,810,0.9304964539007092
Vectorizer.Count,False,2,3,910,0.9325596389426176
Vectorizer.Count,False,2,3,1010,0.931785944551902
Vectorizer.Count,False,2,3,1110,0.9323017408123792
Vectorizer.Count,False,2,3,1210,0.9324306898774984
Vectorizer.Count,False,2,3,1310,0.9323017408123792
Vectorizer.Count,False,2,3,1410,0.9325596389426176
Vectorizer.Count,False,2,3,1510,0.9330754352030948
Vectorizer.Count,False,2,4,10,0.8398452611218569
Vectorizer.Count,False,2,4,110,0.9150225660863959
Vectorizer.Count,False,2,4,210,0.920180528691167
Vectorizer.Count,False,2,4,310,0.9254674403610574
Vectorizer.Count,False,2,4,410,0.9268858800773694
Vectorizer.Count,False,2,4,510,0.9297227595099935
Vectorizer.Count,False,2,4,610,0.9281753707285623
Vectorizer.Count,False,2,4,710,0.9277885235332044
Vectorizer.Count,False,2,4,810,0.9298517085751128
Vectorizer.Count,False,2,4,910,0.9311411992263056
Vectorizer.Count,False,2,4,1010,0.9308833010960671
Vectorizer.Count,False,2,4,1110,0.9316569954867827
Vectorizer.Count,False,2,4,1210,0.9313990973565441
Vectorizer.Count,False,2,4,1310,0.9312701482914248
Vectorizer.Count,False,2,4,1410,0.9324306898774984
Vectorizer.Count,False,2,4,1510,0.9324306898774984
Vectorizer.Count,False,2,5,10,0.8165054803352676
Vectorizer.Count,False,2,5,110,0.9121856866537718
Vectorizer.Count,False,2,5,210,0.9188910380399742
Vectorizer.Count,False,2,5,310,0.9255963894261766
Vectorizer.Count,False,2,5,410,0.926241134751773
Vectorizer.Count,False,2,5,510,0.928046421663443
Vectorizer.Count,False,2,5,610,0.9266279819471309
Vectorizer.Count,False,2,5,710,0.9268858800773694
Vectorizer.Count,False,2,5,810,0.92856221792392
Vectorizer.Count,False,2,5,910,0.9306254029658285
Vectorizer.Count,False,2,5,1010,0.9310122501611864
Vectorizer.Count,False,2,5,1110,0.9303675048355899
Vectorizer.Count,False,2,5,1210,0.9303675048355899
Vectorizer.Count,False,2,5,1310,0.9303675048355899
Vectorizer.Count,False,2,5,1410,0.9298517085751128
Vectorizer.Count,False,2,5,1510,0.9297227595099935
Vectorizer.Count,False,2,6,10,0.7918762088974854
Vectorizer.Count,False,2,6,110,0.9096067053513862
Vectorizer.Count,False,2,6,210,0.9181173436492586
Vectorizer.Count,False,2,6,310,0.9228884590586718
Vectorizer.Count,False,2,6,410,0.926241134751773
Vectorizer.Count,False,2,6,510,0.9266279819471309
Vectorizer.Count,False,2,6,610,0.9257253384912959
Vectorizer.Count,False,2,6,710,0.926241134751773
Vectorizer.Count,False,2,6,810,0.9276595744680851
Vectorizer.Count,False,2,6,910,0.9293359123146357
Vectorizer.Count,False,2,6,1010,0.92856221792392
Vectorizer.Count,False,2,6,1110,0.9283043197936814
Vectorizer.Count,False,2,6,1210,0.9279174725983237
Vectorizer.Count,False,2,6,1310,0.928046421663443
Vectorizer.Count,False,2,6,1410,0.9295938104448743
Vectorizer.Count,False,2,6,1510,0.92856221792392
Vectorizer.Count,False,2,7,10,0.7564152159896841
Vectorizer.Count,False,2,7,110,0.9036750483558994
Vectorizer.Count,False,2,7,210,0.915538362346873
Vectorizer.Count,False,2,7,310,0.9213410702772404
Vectorizer.Count,False,2,7,410,0.9249516441005803
Vectorizer.Count,False,2,7,510,0.9253384912959381
Vectorizer.Count,False,2,7,610,0.9249516441005803
Vectorizer.Count,False,2,7,710,0.9246937459703417
Vectorizer.Count,False,2,7,810,0.9270148291424887
Vectorizer.Count,False,2,7,910,0.9281753707285623
Vectorizer.Count,False,2,7,1010,0.9274016763378465
Vectorizer.Count,False,2,7,1110,0.9272727272727272
Vectorizer.Count,False,2,7,1210,0.927143778207608
Vectorizer.Count,False,2,7,1310,0.9267569310122502
Vectorizer.Count,False,2,7,1410,0.9263700838168923
Vectorizer.Count,False,2,7,1510,0.9259832366215345
Vectorizer.Count,False,2,8,10,0.7152804642166344
Vectorizer.Count,False,2,8,110,0.8996776273372018
Vectorizer.Count,False,2,8,210,0.9130883301096067
Vectorizer.Count,False,2,8,310,0.9204384268214055
Vectorizer.Count,False,2,8,410,0.9232753062540296
Vectorizer.Count,False,2,8,510,0.9241779497098646
Vectorizer.Count,False,2,8,610,0.9228884590586718
Vectorizer.Count,False,2,8,710,0.9235332043842682
Vectorizer.Count,False,2,8,810,0.9249516441005803
Vectorizer.Count,False,2,8,910,0.9259832366215345
Vectorizer.Count,False,2,8,1010,0.9259832366215345
Vectorizer.Count,False,2,8,1110,0.9264990328820116
Vectorizer.Count,False,2,8,1210,0.9259832366215345
Vectorizer.Count,False,2,8,1310,0.9257253384912959
Vectorizer.Count,False,2,8,1410,0.9258542875564152
Vectorizer.Count,False,2,8,1510,0.926241134751773
Vectorizer.Count,False,2,9,10,0.6789168278529981
Vectorizer.Count,False,2,9,110,0.8974854932301741
Vectorizer.Count,False,2,9,210,0.9112830431979368
Vectorizer.Count,False,2,9,310,0.9164410058027079
Vectorizer.Count,False,2,9,410,0.921083172147002
Vectorizer.Count,False,2,9,510,0.9213410702772404
Vectorizer.Count,False,2,9,610,0.920180528691167
Vectorizer.Count,False,2,9,710,0.9209542230818827
Vectorizer.Count,False,2,9,810,0.922501611863314
Vectorizer.Count,False,2,9,910,0.9250805931656996
Vectorizer.Count,False,2,9,1010,0.9253384912959381
Vectorizer.Count,False,2,9,1110,0.924822695035461
Vectorizer.Count,False,2,9,1210,0.9249516441005803
Vectorizer.Count,False,2,9,1310,0.924822695035461
Vectorizer.Count,False,2,9,1410,0.9254674403610574
Vectorizer.Count,False,2,9,1510,0.9250805931656996
Vectorizer.Count,False,2,10,10,0.6188265635074146
Vectorizer.Count,False,2,10,110,0.8941328175370729
Vectorizer.Count,False,2,10,210,0.9078014184397163
Vectorizer.Count,False,2,10,310,0.915538362346873
Vectorizer.Count,False,2,10,410,0.9195357833655706
Vectorizer.Count,False,2,10,510,0.91785944551902
Vectorizer.Count,False,2,10,610,0.9185041908446164
Vectorizer.Count,False,2,10,710,0.9182462927143779
Vectorizer.Count,False,2,10,810,0.920180528691167
Vectorizer.Count,False,2,10,910,0.9228884590586718
Vectorizer.Count,False,2,10,1010,0.9223726627981947
Vectorizer.Count,False,2,10,1110,0.9221147646679562
Vectorizer.Count,False,2,10,1210,0.921598968407479
Vectorizer.Count,False,2,10,1310,0.9221147646679562
Vectorizer.Count,False,2,10,1410,0.9231463571889104
Vectorizer.Count,False,2,10,1510,0.9236621534493875
Vectorizer.Count,False,3,1,10,0.908575112830432
Vectorizer.Count,False,3,1,110,0.9274016763378465
Vectorizer.Count,False,3,1,210,0.9268858800773694
Vectorizer.Count,False,3,1,310,0.9325596389426176
Vectorizer.Count,False,3,1,410,0.9301096067053514
Vectorizer.Count,False,3,1,510,0.9298517085751128
Vectorizer.Count,False,3,1,610,0.92856221792392
