,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_tfidf__use_idf,param_vect__max_features,param_vect__ngram_range,param_vect__stop_words,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.3730549573898315,0.12444250825374517,0.03853540420532227,0.026128141610878116,0.01,True,10,"(1, 1)",,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 10, 'vect__ngram_range': (1, 1), 'vect__stop_words': None}",0.5760869565217391,0.5305676855895196,0.5786026200873362,0.5698689956331878,0.5938864628820961,0.6244541484716157,0.5829694323144105,0.5676855895196506,0.5655021834061136,0.5633187772925764,0.5752946311654299,0.022710538904716807,496,0.5786026200873362,0.5855965082444229,0.581474296799224,0.5831716779825412,0.5812318137730359,0.5717749757516973,0.5795344325897187,0.5834141610087293,0.5817167798254123,0.5795344325897187,0.5806051698651836,0.003550353295324207
1,0.38084514141082765,0.0876890778619313,0.02294316291809082,0.0043146582793843445,0.01,True,10,"(1, 1)",english,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 10, 'vect__ngram_range': (1, 1), 'vect__stop_words': 'english'}",0.6021739130434782,0.62882096069869,0.611353711790393,0.6244541484716157,0.6091703056768559,0.5938864628820961,0.5829694323144105,0.6703056768558951,0.6419213973799127,0.5917030567685589,0.6156700130947185,0.025067186205268523,436,0.61863173216885,0.6151794374393792,0.6154219204655674,0.6139670223084384,0.6180892337536372,0.6197866149369544,0.6205140640155189,0.612027158098933,0.6139670223084384,0.6197866149369544,0.6167370820432672,0.002827873052706469
2,0.9796247720718384,0.1883626682628423,0.04474139213562012,0.006466217064582084,0.01,True,10,"(1, 2)",,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 10, 'vect__ngram_range': (1, 2), 'vect__stop_words': None}",0.5760869565217391,0.5305676855895196,0.5786026200873362,0.5698689956331878,0.5938864628820961,0.6244541484716157,0.5829694323144105,0.5676855895196506,0.5655021834061136,0.5633187772925764,0.5752946311654299,0.022710538904716807,496,0.5786026200873362,0.5855965082444229,0.581474296799224,0.5831716779825412,0.5812318137730359,0.5717749757516973,0.5795344325897187,0.5834141610087293,0.5817167798254123,0.5795344325897187,0.5806051698651836,0.003550353295324207
3,0.6355362653732299,0.04163776098505897,0.03012831211090088,0.004816945293606876,0.01,True,10,"(1, 2)",english,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 10, 'vect__ngram_range': (1, 2), 'vect__stop_words': 'english'}",0.6021739130434782,0.62882096069869,0.611353711790393,0.6244541484716157,0.6091703056768559,0.5938864628820961,0.5829694323144105,0.6703056768558951,0.6419213973799127,0.5917030567685589,0.6156700130947185,0.025067186205268523,436,0.61863173216885,0.6151794374393792,0.6154219204655674,0.6139670223084384,0.6180892337536372,0.6197866149369544,0.6205140640155189,0.612027158098933,0.6139670223084384,0.6197866149369544,0.6167370820432672,0.002827873052706469
4,2.3702283620834352,0.49544931806253945,0.09012155532836914,0.045448794837096296,0.01,True,10,"(1, 3)",,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 10, 'vect__ngram_range': (1, 3), 'vect__stop_words': None}",0.5760869565217391,0.5305676855895196,0.5786026200873362,0.5698689956331878,0.5938864628820961,0.6244541484716157,0.5829694323144105,0.5676855895196506,0.5655021834061136,0.5633187772925764,0.5752946311654299,0.022710538904716807,496,0.5786026200873362,0.5855965082444229,0.581474296799224,0.5831716779825412,0.5812318137730359,0.5717749757516973,0.5795344325897187,0.5834141610087293,0.5817167798254123,0.5795344325897187,0.5806051698651836,0.003550353295324207
5,0.9361158847808838,0.03017790742454381,0.03832085132598877,0.003025230948224511,0.01,True,10,"(1, 3)",english,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 10, 'vect__ngram_range': (1, 3), 'vect__stop_words': 'english'}",0.6021739130434782,0.62882096069869,0.611353711790393,0.6244541484716157,0.6091703056768559,0.5938864628820961,0.5829694323144105,0.6703056768558951,0.6419213973799127,0.5917030567685589,0.6156700130947185,0.025067186205268523,436,0.61863173216885,0.6151794374393792,0.6154219204655674,0.6139670223084384,0.6180892337536372,0.6197866149369544,0.6205140640155189,0.612027158098933,0.6139670223084384,0.6197866149369544,0.6167370820432672,0.002827873052706469
6,0.29866092205047606,0.024642855594299642,0.02492530345916748,0.004797980792797577,0.01,True,100,"(1, 1)",,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 100, 'vect__ngram_range': (1, 1), 'vect__stop_words': None}",0.6934782608695652,0.665938864628821,0.6790393013100436,0.7161572052401747,0.7292576419213974,0.6921397379912664,0.6899563318777293,0.6834061135371179,0.6746724890829694,0.6397379912663755,0.6863814927979048,0.023690517089790468,391,0.6916545366327026,0.6968962172647915,0.7007759456838021,0.6959262851600388,0.6930164888457808,0.6951988360814743,0.6901066925315228,0.6905916585838991,0.6976236663433559,0.6995635305528612,0.6951353857680229,0.003519733586958822
7,0.2788612604141235,0.02247319975801641,0.02069985866546631,0.0013101959211248221,0.01,True,100,"(1, 1)",english,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 100, 'vect__ngram_range': (1, 1), 'vect__stop_words': 'english'}",0.717391304347826,0.7358078602620087,0.7379912663755459,0.6986899563318777,0.7161572052401747,0.6812227074235808,0.6986899563318777,0.7117903930131004,0.7292576419213974,0.6812227074235808,0.7108249672632039,0.019544877955994563,373,0.7212518195050946,0.7255092143549952,0.7257516973811833,0.7247817652764307,0.7211445198836082,0.7245392822502424,0.723811833171678,0.7204170708050437,0.7218719689621726,0.7257516973811833,0.7234830868971633,0.001993794706854812
8,0.8270440578460694,0.04700583519321729,0.047956013679504396,0.011573744699946986,0.01,True,100,"(1, 2)",,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 100, 'vect__ngram_range': (1, 2), 'vect__stop_words': None}",0.6934782608695652,0.6528384279475983,0.6724890829694323,0.7008733624454149,0.7096069868995634,0.6899563318777293,0.6746724890829694,0.6790393013100436,0.6724890829694323,0.62882096069869,0.6774334351811436,0.022416375256961277,412,0.6901989325570111,0.6913191076624636,0.6937439379243453,0.6867119301648884,0.688894277400582,0.69180407371484,0.6959262851600388,0.6884093113482056,0.6871968962172648,0.6913191076624636,0.6905523859812104,0.002743768892406819
9,0.5821228742599487,0.031106969474052674,0.029561686515808105,0.002632532598249,0.01,True,100,"(1, 2)",english,"{'clf__C': 0.01, 'tfidf__use_idf': True, 'vect__max_features': 100, 'vect__ngram_range': (1, 2), 'vect__stop_words': 'english'}",0.7130434782608696,0.7314410480349345,0.7379912663755459,0.7008733624454149,0.7161572052401747,0.6790393013100436,0.7008733624454149,0.7117903930131004,0.7270742358078602,0.6812227074235808,0.7099519860323003,0.018806647364720222,376,0.720281416787967,0.7233268671193016,0.725266731328807,0.7230843840931135,0.7206595538312318,0.7245392822502424,0.723811833171678,0.7204170708050437,0.7218719689621726,0.726721629485936,0.7229980737835494,0.0020722776304345322
