id,text
1103038139617169408,"“Education opportunity shouldn’t be limited by parental income or zip code.” I wholeheartedly agree, @GovRonDeSantis. Congrats on your first State of the State Address! #edreform"
1102739533332918273,Great to hear @GovBillLee tout the power of educational freedom in his first State of the State by vowing to bring Education Scholarship Accounts to more families. #TNSOTS #edreform https://t.co/7IBTBBNn8y
1102739121196404736,Thanks to the #SXSWEDU team for a great day in Austin talking #edreform! https://t.co/O1M5o7YZgg
1102660536066605056,Got to chat with 8-year old podcaster Nate today at #SXSWEDU - one of the more enjoyable media interviews I have ever done! @natepodcasts https://t.co/Zja81dGa7H
1102605463831658496,Venezuela’s Suicide https://t.co/1p3ZKoDw17 via @ForeignAffairs
1101794935899123712,"Trumpism and the new nationalism are a rebuke of the rise of ‘declarative government’ by judges and bureaucrats, writes Christopher DeMuth https://t.co/JDFnGyf9rJ"
1101620603520471041,"Thrilled and honored to welcome my friend @Gov_Martinez to the board of @ExcelinEd. She is a visionary leader, bold advocate and long-time champion for #edreform https://t.co/qeIHcQukDE"
1100968476368429056,"I applaud @POTUS and @BetsyDeVosED for their steadfast commitment to increasing educational opportunity for America’s families. @tedcruz, @RepByrne and #edreform allies in Congress can be proud of this bold proposal. https://t.co/hVwdO2gphd"
1099455043563073537,What triggered the escalation of US-Venezuela policy? https://t.co/tSBUmr0uPk via @Univision @dadams7308 Well written piece. President Trump deserves credit for ramping up the pressure on Maduro. As does Senator Rubio for his solid advice to the administration.
1099014701076410368,Nearly 80% of Florida voters want educational freedom for their kids. New poll from @ExcelinEd breaks it down. #edreform https://t.co/jDcalAzGZa
1098918586620567552,The Uhauls are heading to Florida. https://t.co/Klzd1zvh40
1098193603220983808,"Catholic bishops have failed to police themselves. It’s time for the laity to step up, writes Tim Busch https://t.co/kvd9N6vpJC"
1097908404792774658,Good work Governor Ducey! https://t.co/yBRs1wQE6l
1096501313087725569,"Incredible news on the Florida #edreform front today, thanks to @GovRonDeSantis' strong leadership https://t.co/ke06n1jYZU"
1096064020908527616,Parkland parents and politicians: A year later | Tampa Bay Times. Kudos to the Parkland parents working for school safety. Kudos to Marco Rubio for working on their behalf. https://t.co/XNei336bEw
1095882002635673600,"I suspect that most of my followers on Twitter don’t always read the attachments i send, but this one should be read. Kudos to NASA’s teams that have worked on these Mars rovers. Truly amazing! https://t.co/TxXvrDY9I5"
1095846295762276352,Inspired. Thanks @CollegeBoard and @hadip for pushing education forward. #edreform https://t.co/h5sUZ74g61
1095057534958948357,@ComfortablySmug Thanks Smug
1093954307509182464,"Proud to join the @BarbaraBushFdn to honor the winners of the Adult Literacy @xprize, a massive effort to help the 36 million adults in the U.S. with low literacy skills. https://t.co/cKmL9NStV4"
1093668762774052865,Florida is the top state in the nation for AP participation and third best state for AP performance according to the @CollegeBoard. These results are a great reminder that #edreform policies lead to better outcomes for students! https://t.co/WU3xJmU22e
1093644075377545216,"Well said! Clear, transparent measuring is what parents want and need. https://t.co/PEc1xO57zE"
1093202909418934272,"Florida legislative leaders are correct on this. To serve appropriately, the Governor needs a plane. https://t.co/r6CJFVrIY4"
1093164335202033664,Happy birthday Mr. President! https://t.co/fNIylZg3jT
1092764666839949312,Thank you @GovRonDeSantis! Phenomenal leadership on the #edreform front! https://t.co/mTAr5EtHoJ
1092156015976607747,Why We Invited the Pope to the Arabian Peninsula - POLITICO Magazine. A hopeful sign. https://t.co/1Ly4S0a4Ua
1091307629278912513,"New H-1B rules would result in up to 5,340 more immigrants with a master’s degree or higher getting selected for a visa. A good change in policy. https://t.co/9gVT8cEOKH"
1091291323284578304,"Old, beautiful churches are emptying, moving closer to demolition. Here’s what can be done, writes Karl Zinsmeister https://t.co/cHB9zcL841"
1091126513397714945,About ready to speak at The NJ Speakers Series at the beautiful NJPAC. https://t.co/uWcw2lPqje
1090756624711589889,"Congrats to @GovRonDeSantis and @richardcorcoran for their bold proposals on computer science and #CTE. You are ushering in the future of education. Florida students, families and businesses will greatly benefit. #edreform https://t.co/Q8GWI10qTH"
