id,text
1060305688885387264,"Last night was a big night for Democrats, especially in the states. Thank you so much to all who worked to #WinBackYourState and elect more Democrats! https://t.co/ohDphzRvpf"
1060212809152294912,"Well done, @TheDLCC! https://t.co/T1VmjhWPLx"
1060207832077946880,Fantastic job @SteveSisolak on becoming the next Governor of Nevada. A huge win for your state and our country. https://t.co/onqWxzUK9B
1060206299382771713,👇 https://t.co/oRWvA7KN6d
1060198695357034496,Amazing! Way to #WinBackYourState @FaithWinterCO @jessiedanielson @pettersen4co @Story4CO https://t.co/MjPKgdE9QC
1060043187912347648,Pennsylvania is killing it tonight. Way to go @LindseyForPA! https://t.co/DMXSXaSd71
1060042935050399744,"Congrats, John! https://t.co/fePMCQuKu6"
1059996575685066752,Sure is a Good day. Way to go @GoodforFlorida! https://t.co/Y6NAs5wlxT
1059995249563582465,"There we go @marygayscanlon! Give us some more, Pennsylvania #WinBackYourState https://t.co/c2YxpslHNN"
1059979045843144705,Way to go @AnnaForFlorida ! https://t.co/LXdP4kR4Zp
1059964910816366592,"Less than 1 hour left to vote in Maryland, Connecticut, Delaware, Maine, Massachusetts, New Jersey, Pennsylvania, and Rhode Island. #WinBackYourState"
1059777437154840576,"Next video in our ""This, We Believe"" series on education. The more our people learn, the more our people will earn. https://t.co/angZ1aygfC #WinBackYourState"
1059561492767539201,"In our ""This, We Believe"" series: New video on the future of our nation. The stronger we make our country, the more she gives back to our children and grandchildren. https://t.co/KsGfFomZ3f #WinBackYourState"
1059553241099329537,The tireless volunteers of Tampa are hearing great things about ⁦@AndrewGillum⁩ and the Democrats! Only 28 hours left to #WinBackYourState https://t.co/mKOo5kEkYM
1059527214797066241,"Sun City is ready for @ChrisKingFL and @AndrewGillum. They really are going to #WinBackYourState, Florida! https://t.co/E5uQFzHEDM"
1059481729768062976,"New video in our ""This, We Believe"" series on the importance of safety in our society: https://t.co/FcvHtToMXT #WinBackYourState"
1059203377278595072,"Wherever @SteveSisolak and @KateMarshallNV go, the people are fired up for them. #WinBackYourState https://t.co/oF9i4lWc2Z"
1059158854133460992,Quick coffee break at Daughter’s Cafe where NV’s Democratic state legislative candidates are collecting every last vote! #WinBackYourState #NVpol https://t.co/kNsnC7YDwr
1059142011301715968,"AMAZING turnout of organized labor in Reno for ⁦@SteveSisolak⁩ and ⁦⁦@KateMarshallNV⁩ - let’s get it done, Nevada #WinBackYourState https://t.co/4p14VhHCs3"
1058887505594859520,"Nevada is so lucky to have smart, young Democratic candidates running all across the ballot this year. It was great to be with ⁦@ZConine⁩ and ⁦@Jones4Nevada⁩ at the ⁦@RedRockDems⁩ https://t.co/CGjwNhCHXY"
1058854211645956096,"Win Back Your State, Nevada and vote for the amazing @NelsonAraujoNV for Secretary of State! https://t.co/C0UpeuQ9Im"
